0.2,97.2
1.2,99.2
0.2,98.2
2.2,94.2
5.2,94.2
7.2,98.2
7.2,96.2
11.2,98.2
0.2,91.2
5.2,93.2
1.2,88.2
6.2,88.2
3.2,88.2
8.2,93.2
10.2,91.2
11.2,88.2
12.2,88.2
15.2,99.2
14.2,97.2
13.2,95.2
15.2,95.2
24.2,99.2
22.2,97.2
23.2,98.2
19.2,96.2
15.2,92.2
13.2,93.2
20.2,92.2
21.2,89.2
23.2,88.2
24.2,89.2
4.2,85.2
3.2,87.2
4.2,87.2
0.2,83.2
1.2,82.2
5.2,83.2
7.2,86.2
8.2,85.2
12.2,85.2
2.2,77.2
2.2,80.2
1.2,77.2
12.2,80.2
8.2,76.2
9.2,78.2
13.2,85.2
13.2,86.2
14.2,85.2
16.2,86.2
17.2,85.2
20.2,86.2
19.2,85.2
23.2,85.2
22.2,82.2
17.2,80.2
15.2,78.2
16.2,79.2
20.2,81.2
23.2,81.2
20.2,77.2
21.2,77.2
25.2,95.2
27.2,95.2
31.2,96.2
29.2,94.2
37.2,99.2
33.2,95.2
25.2,89.2
30.2,90.2
27.2,90.2
36.2,91.2
37.2,89.2
32.2,88.2
40.2,97.2
40.2,98.2
42.2,99.2
41.2,99.2
40.2,95.2
38.2,95.2
39.2,94.2
46.2,97.2
48.2,97.2
47.2,98.2
47.2,95.2
42.2,91.2
38.2,93.2
42.2,89.2
44.2,91.2
46.2,93.2
48.2,92.2
45.2,90.2
26.2,86.2
25.2,87.2
28.2,87.2
25.2,83.2
28.2,80.2
25.2,75.2
26.2,75.2
31.2,77.2
28.2,76.2
33.2,77.2
37.2,80.2
33.2,81.2
45.2,87.2
45.2,85.2
48.2,85.2
47.2,86.2
48.2,87.2
49.2,82.2
41.2,79.2
41.2,80.2
46.2,78.2
44.2,80.2
49.2,78.2
49.2,77.2
0.2,73.2
0.2,72.2
6.2,72.2
3.2,73.2
6.2,73.2
0.2,69.2
4.2,69.2
12.2,73.2
9.2,70.2
8.2,69.2
7.2,71.2
1.2,63.2
1.2,66.2
6.2,67.2
7.2,67.2
12.2,68.2
10.2,66.2
8.2,63.2
15.2,70.2
18.2,69.2
17.2,74.2
19.2,72.2
20.2,72.2
24.2,71.2
23.2,70.2
15.2,68.2
18.2,66.2
17.2,66.2
14.2,63.2
13.2,65.2
2.2,60.2
5.2,60.2
5.2,58.2
6.2,59.2
3.2,57.2
4.2,57.2
11.2,58.2
7.2,60.2
11.2,59.2
0.2,54.2
6.2,56.2
3.2,53.2
3.2,56.2
1.2,51.2
0.2,52.2
6.2,52.2
4.2,52.2
6.2,50.2
8.2,51.2
10.2,50.2
10.2,55.2
13.2,59.2
24.2,57.2
19.2,58.2
23.2,57.2
16.2,56.2
13.2,52.2
13.2,51.2
17.2,50.2
18.2,50.2
21.2,56.2
22.2,51.2
22.2,55.2
28.2,69.2
34.2,73.2
35.2,72.2
32.2,70.2
34.2,71.2
26.2,68.2
28.2,67.2
27.2,63.2
25.2,63.2
36.2,67.2
32.2,68.2
33.2,65.2
41.2,74.2
41.2,72.2
42.2,73.2
43.2,73.2
38.2,71.2
40.2,69.2
40.2,70.2
44.2,74.2
47.2,74.2
49.2,73.2
48.2,74.2
46.2,70.2
49.2,70.2
40.2,66.2
40.2,68.2
41.2,67.2
41.2,65.2
41.2,63.2
49.2,67.2
29.2,61.2
25.2,57.2
26.2,60.2
34.2,57.2
33.2,62.2
35.2,57.2
25.2,53.2
25.2,54.2
29.2,55.2
30.2,54.2
27.2,51.2
26.2,52.2
41.2,62.2
40.2,59.2
41.2,59.2
41.2,58.2
44.2,62.2
48.2,61.2
47.2,61.2
48.2,59.2
41.2,52.2
45.2,56.2
56.2,99.2
51.2,96.2
53.2,94.2
55.2,94.2
59.2,97.2
62.2,97.2
59.2,95.2
58.2,96.2
58.2,94.2
55.2,88.2
53.2,89.2
58.2,92.2
61.2,92.2
61.2,88.2
64.2,98.2
68.2,98.2
71.2,97.2
70.2,97.2
72.2,99.2
73.2,99.2
72.2,94.2
72.2,95.2
65.2,88.2
64.2,88.2
66.2,88.2
68.2,90.2
71.2,91.2
72.2,93.2
74.2,93.2
73.2,88.2
53.2,87.2
56.2,85.2
52.2,83.2
53.2,84.2
59.2,86.2
61.2,85.2
59.2,87.2
54.2,79.2
52.2,77.2
50.2,75.2
65.2,86.2
65.2,87.2
66.2,87.2
63.2,83.2
72.2,86.2
73.2,87.2
69.2,82.2
71.2,83.2
70.2,82.2
68.2,78.2
65.2,79.2
67.2,79.2
71.2,80.2
73.2,80.2
70.2,78.2
75.2,97.2
78.2,98.2
79.2,98.2
80.2,95.2
79.2,94.2
79.2,96.2
85.2,99.2
77.2,91.2
76.2,89.2
78.2,90.2
78.2,88.2
85.2,91.2
84.2,89.2
85.2,89.2
86.2,90.2
92.2,95.2
93.2,99.2
89.2,88.2
91.2,92.2
75.2,86.2
80.2,87.2
76.2,84.2
80.2,83.2
84.2,85.2
83.2,87.2
87.2,87.2
84.2,84.2
78.2,76.2
80.2,77.2
76.2,80.2
84.2,81.2
82.2,78.2
86.2,81.2
85.2,80.2
84.2,77.2
83.2,75.2
